sample_id	participant_id	sample_type
slide2section4ipsiIC	HA241115	tissue
slide2section5ipsiIC	HA241115	tissue
slide2section6ipsiIC	HA241115	tissue
slide2section9IC	HA241115	tissue
slide1section10contraCN	HK241225	tissue
slide1section10ipsiCN	HK241225	tissue
slide1section3contraCN	HK241225	tissue
slide1section4contraCN	HK241225	tissue
slide1section5contraCN	HK241225	tissue
slide1section6contraCN	HK241225	tissue
slide1section7contraCN	HK241225	tissue
slide1section7ipsiCN	HK241225	tissue
slide1section8contraCN	HK241225	tissue
slide1section8ipsiCN	HK241225	tissue
slide1section9contraCN	HK241225	tissue
slide1section9ipsiCN	HK241225	tissue
slide2section1contraCN	HK241225	tissue
slide2section1ipsiCN	HK241225	tissue
slide2section2contraCN	HK241225	tissue
slide2section2ipsiCN	HK241225	tissue
slide2section3contraCN	HK241225	tissue
slide2section3ipsiCN	HK241225	tissue
slide2section4contraCN	HK241225	tissue
slide2section4ipsiCN	HK241225	tissue
slide2section5contraCN	HK241225	tissue
slide2section5ipsiCN	HK241225	tissue
slide2section6ipsiCN	HK241225	tissue
slide2section7ipsiCN	HK241225	tissue
slide2section8ipsiCN	HK241225	tissue
slide1section10contraCN	HK241227	tissue
slide1section10ipsiCN	HK241227	tissue
slide1section5ipsiCN	HK241227	tissue
slide1section6ipsiCN	HK241227	tissue
slide1section7contraCN	HK241227	tissue
slide1section7ipsiCN	HK241227	tissue
slide1section8contraCN	HK241227	tissue
slide1section8ipsiCN	HK241227	tissue
slide1section9contraCN	HK241227	tissue
slide1section9ipsiCN	HK241227	tissue
slide2section10contraCN	HK241227	tissue
slide2section1contraCN	HK241227	tissue
slide2section1ipsiCN	HK241227	tissue
slide2section2contraCN	HK241227	tissue
slide2section2ipsiCN	HK241227	tissue
slide2section3contraCN	HK241227	tissue
slide2section3ipsiCN	HK241227	tissue
slide2section4contraCN	HK241227	tissue
slide2section4ipsiCN	HK241227	tissue
slide2section5contraCN	HK241227	tissue
slide2section5ipsiCN	HK241227	tissue
slide2section6contraCN	HK241227	tissue
slide2section6ipsiCN	HK241227	tissue
slide2section7contraCN	HK241227	tissue
slide2section7ipsiCN	HK241227	tissue
slide2section8contraCN	HK241227	tissue
slide2section8ipsiCN	HK241227	tissue
slide2section9contraCN	HK241227	tissue
slide1section10contraCN	MG230523	tissue
slide1section3contraCN	MG230523	tissue
slide1section3ipsiCN	MG230523	tissue
slide1section4contraCN	MG230523	tissue
slide1section4ipsiCN	MG230523	tissue
slide1section5contraCN	MG230523	tissue
slide1section5ipsiCN	MG230523	tissue
slide1section6contraCN	MG230523	tissue
slide1section6ipsiCN	MG230523	tissue
slide1section7contraCN	MG230523	tissue
slide1section7ipsiCN	MG230523	tissue
slide1section8contraCN	MG230523	tissue
slide1section8ipsiCN	MG230523	tissue
slide1section9contraCN	MG230523	tissue
slide1section9ipsiCN	MG230523	tissue
slide1section10contraCN	MG230523B	tissue
slide1section10ipsiCN	MG230523B	tissue
slide1section6contraCN	MG230523B	tissue
slide1section6ipsiCN	MG230523B	tissue
slide1section7contraCN	MG230523B	tissue
slide1section7ipsiCN	MG230523B	tissue
slide1section8contraCN	MG230523B	tissue
slide1section8ipsiCN	MG230523B	tissue
slide1section9contraCN	MG230523B	tissue
slide1section9ipsiCN	MG230523B	tissue
slide2section1contraCN	MG230523B	tissue
slide2section1ipsiCN	MG230523B	tissue
slide2section2contraCN	MG230523B	tissue
slide2section2ipsiCN	MG230523B	tissue
